Objectives,Problem,Data,Methods_Techniques,Results
"The main goal of the study was to explore the use of ambient information to reduce risks, prevent work-related injuries, and monitor health in the mining industry. ",The study addresses the challenges in monitoring risks in work environments and employers’ health statuses in the mining industry. ,"The study does not specify the particular data sets used, but it involves the exploration of ambient information relevant to miners' work environments and their health monitoring. ",The study developed applications tailored to individuals working in mining environments. These applications help assess the risks in their specific work situations and aim to increase awareness about reducing physical damage risks. ,The main findings include the identification of opportunities for and obstacles to integrating ambient information into health applications for miners. This integration can potentially enhance the safety and health monitoring in the mining sector.
The main purpose of the study was to present a systematic approach for mapping data governance policies to a straightforward process specifically designed to monitor sensor data in oil fields. ,"The study addressed the challenge of effectively managing and monitoring vast amounts of sensor data collected in oil and gas facilities, which is critical for production monitoring, facility maintenance, health and safety, and compliance with environmental regulations. ","The data used in this study included sensor data from oil and gas facilities and the seabed, monitoring various parameters such as production levels, facility status, and environmental conditions like flow, temperature, and turbidity. ","The study applied data governance policies and developed a process that integrates these policies with the operation of monitoring systems, likely involving the use of dashboards and common operations centers to centralize data monitoring. ","The main findings highlighted the effectiveness of the described process in improving the monitoring of energy production and environmental conditions, thereby enhancing overall operational efficiency and regulatory compliance. The results showcased a model for how oil and gas companies can strategically manage sensor data through centralized systems."
"The main purpose of the study was to propose a novel visualization method for spatio-temporal rules to aid in risk analysis within an offshore oil industry environment, focusing on Occupational Health and Security (OHS). ","The study addressed the challenges faced by OHS employees in the offshore oil industry, particularly in exploring measures of interestingness in association rules (such as confidence, lift, support) and in handling the large volume of association rules generated during data analysis. ","The data used involved standards for recording workplace accidents and incidents within the offshore oil industry, which serve as a basis for analysis and prevention efforts. ","The study employed association rule learning to mine data and discover relations between different entities. An interactive visualization technique was developed to represent the spatio-temporal distribution of accidents, enhancing the interpretability of the mined rules. ","The main result was the creation of an interactive visualization tool for spatio-temporal rules, designed to provide a comprehensive overview of risk analysis and facilitate more effective decision-making in the oil industry domain. This tool helps in interpreting accident data with a focus on spatial and temporal constraints."
"The main goal of this study is to develop risk assessment models that predict the severity of inhaled nanomaterial toxicity, enabling designers to identify harmful attributes and opt for safer alternatives while achieving their functional objectives. ","The study addresses the challenge of the growing number of nanomaterials, which are too numerous to test individually for toxicity through traditional animal testing. This has created a backlog of untested materials, complicating effective risk management in industry and regulation due to mismatches between actual risks and interim measures. ","The study utilized data from in vivo nanomaterial rodentinhalational toxicity studies, specifically examining the toxicity of inhaled nanomaterials in animal models. ","The researchers applied machine learning techniques, including regression trees and the ensemble method of random forests. These techniques were chosen for their ability to handle data records with missing information and to uncover complex relationships in data, even in nonlinear or conditional scenarios. ","The predictive risk model developed in the study revealed that carbon nanotube (CNT) impurities can account for up to 30% of the variance in pulmonary toxicity, while titanium dioxide nanoparticle size and aggregation influenced the toxic response by less than ±10%. Additionally, differences in Gibbs Free Energy on lactate dehydrogenase (LDH) concentrations in metal oxide nanoparticles accounted for only 4% of the total variance in observed effects, with other chemical descriptors of metal oxides being deemed unimportant."
The main purpose of the study was to propose an automated risk estimation approach for identifying hazardous zones and estimating risk in the shipbuilding industry using deep learning methods. ,"The study addressed the issue of frequent non-compliance to safety practices among workers in the shipbuilding industry, despite existing safety policies, due to various reasons like inconvenience and lack of awareness about the risks associated with specific tasks or areas. ","The abstract does not specify the exact data used for the study. However, the study likely utilized data related to workers' compliance with safety measures and the environmental conditions of the shipbuilding sites. ","The study applied deep learning methods to develop an approach for automatically identifying hazardous zones and estimating risks, thereby checking whether safety measures were adequately carried out in these zones. ","The main outcome of the study was the development of an automated system capable of identifying hazardous zones and assessing compliance with safety measures to estimate risks, potentially leading to enhanced safety management in the shipbuilding industry."
The main purpose of the study was to find an indirect and non-intrusive method to quantify the force exerted by construction workers during tasks to potentially reduce the incidence of Work-related Musculoskeletal Disorders (WMSDs). ,"The problem addressed is the challenge in measuring the force level exerted by construction workers during tasks, which is essential to assess the risk of WMSDs, as direct measurement is often difficult or impossible. ",The data used in the study included accelerometer data collected from a smartphone sensor attached to the working arm of individuals while they performed simulated pushing and pulling tasks in a laboratory setting. ,The methods involved simulated laboratory-scale experiments to measure exerted force using a work simulator tool. An Artificial Neural Network (ANN) was then trained with the collected accelerometer data and the measured force levels. ,"The primary finding was that the ANN model could predict the force level with over 87.5% accuracy, demonstrating the effectiveness of using accelerometer data in assessing force exertion in construction tasks."
"The main purpose of the study was to use Artificial Neural Networks (ANN) to predict the probability of fatal accidents in the construction industry based on various contributing factors, and propose a predictive model to support event-based safety programs aligning with the primary goals of OSHA. ",The study addresses the problem of high fatality rates in the construction industry and the challenges in utilizing existing databases to predict and mitigate these accidents effectively. ,The data used in this study was sourced from the comprehensive OSHA fatality case file collection maintained by the Construction Industry Research and Policy Center at the University of Tennessee. ,The study employed Artificial Neural Networks (ANN) and contingency analysis to identify significant contributing factors to fatal accidents and predict the variation in these accidents. ,"The ANN model successfully predicted approximately 83% of the variation in fatal accidents. The contingency analysis revealed that certain factors such as the source of the accident, environmental conditions, end-use, and the state had a significant influence on the causes of fatalities."
"The main purpose of the study was to analyze multimodal data in real-time to produce 'risk maps' for identifying workplace hazards efficiently, ultimately aiding in risk mitigation. ","The challenge addressed was the effective and timely identification of risks in the workplace, leveraging the vast amount of diverse data available. ","The data used in the study included pictures, videos, documents, mobile app data, sensor/Internet of Things (IoT) data, Occupational Safety and Health Administration (OSHA) rules, and Building Information Model (BIM) Models. ","The study employed new machine learning and deep learning analytics, along with methods applicable to unconventional data sources. Techniques included computer vision, natural language processing (NLP), and sensor data analysis. ","Key findings included the development of methods for automated cause identification, damage prevention, and disaster recovery using both current and historical claims data, along with other public data sources. These methods are adaptable to various scenarios and different populations, including first responders. Additionally, the study highlighted significant non-technical challenges related to business practicality, privacy, and industry regulations."
The main purpose of the study was to classify and predict the causes of occupational incidents within grain elevator agro-manufacturing operations in the Midwest region of the United States. ,The problem addressed in this study was the high number of severe injuries in commercial grain elevators due to the hazardous nature of the work environment and activities. ,The data utilized in this study encompassed workers' compensation claims from the years 2008 to 2016. ,The study employed multilayer perceptron (MLP) and radial basis function (RBF) neural networks to train models that predict the probability of safety risks. ,"Both MLP and RBF models achieved a general prediction accuracy of 60% and 61%, respectively, and attained high accuracy rates (71.5% to 99.2%) in predicting individual safety risks based on the area under the curve (AUC) of the receiving operating charts (ROC). Sensitivity analysis identified the nature and type of injury as significant determinants of safety risk probabilities. The study showed the effectiveness of using artificial neural networks for safety risk estimation and identifying risk factors in occupational environments."
The main purpose of the study was to enhance safety in highway construction and maintenance by integrating safety risk data into preconstruction planning and by developing a decision support system. ,"The study addressed the challenge of high injury and illness rates within the highway construction and maintenance sector, which is notably dangerous compared to other areas in construction. ","The data used included quantified safety risks for 25 common highway construction tasks, obtained using the Delphi method and from testing the decision support system on 11 active case study projects in the US. ",The study utilized the Delphi method to quantify safety risks and developed a decision support system called Scheduled-based Safety Risk Assessment and Management (SSRAM). This system integrates safety risk data with project schedules and utilizes controls to decrease cognitive biases among the expert participants. ,"The findings indicate that the decision support system, along with the database of quantified risks, provides accurate and reliable risk forecasts, enhancing the effectiveness of preconstruction safety activities."
The main purpose of the study was to investigate the necessity for professionals in the construction industry to conduct systematic and effective risk assessments across different trades. ,"The study addressed the issue that construction professionals often rely heavily on personal experience and knowledge when making decisions about risk assessment, lacking a systematic approach and means to verify the reliability of these decisions. ",The study utilized historical accident data relevant to the construction industry to analyze and test the developed Risk Assessment Model (RAM). ,"The study explored 14 common types of construction trades, accidents, and their causes. It developed a Risk Assessment Model (RAM) that evaluates risk levels at various project stages and for different work trades, employing a case study to validate the model's effectiveness and reliability. ","The findings indicated that the developed RAM was effective in predicting high-risk construction activities, thereby aiding in the prevention of accidents. The model demonstrated workability and reliability when applied in an industry setting."
The main purpose of this study is to evaluate the effectiveness of unsupervised machine learning and Natural Language Processing (NLP) in assisting with safety inspections and organizing accident databases at a state level. ,"The problem addressed is the challenge of manually analyzing large databases of occupational safety and health reports, specifically from the construction industry, which is both time-consuming and costly. ",The data used in the study includes construction accident reports collected from the Occupational Safety and Health Administration (OSHA) Arizona office. ,"The methodology employed involves preprocessing the accident reports, weighting terms, and applying a data-driven unsupervised K-Means-based clustering approach to classify the reports into four different types of accidents. ","The study found that the construction accidents in Arizona were predominantly caused by falls (42.9%), followed by being struck by objects (34.3%), electrocutions (12.5%), and trench collapses (10.3%). These results aid state and local agencies in customizing their presentation of accident data to better fit local regulations and weather conditions, thereby enhancing local safety standards."
The main purpose of the study was to develop a novel methodology using computer vision and smart insoles for an objective and detailed ergonomic assessment of construction workers performing various tasks. ,"The study addresses the challenge of ergonomic risks among construction workers due to awkward postures and excessive manual material handling, which traditional assessment methods like visual observation and on-body sensors may not evaluate accurately due to their subjective and intrusive nature. ","The study utilized skeleton data extracted from construction workers using a smartphone camera fitted with an advanced deep learning algorithm, along with plantar pressure data collected from smart insoles during construction activities. ","The methodology involved extracting skeleton data via smartphone cameras, quantifying plantar pressures using smart insoles during tasks, and integrating this data into an inverse dynamic model to calculate joint torques and workloads. ","Experiments simulating construction tasks such as material handling, plastering, and rebar installations demonstrated that the developed method provides a detailed and accurate ergonomic assessment, contributing valuable insights to occupational safety and health in construction management."
"The main purpose of this study was to describe ToolSHeD™, an innovative information and decision support tool designed to integrate the management of Occupational Health and Safety (OHS) risk into the construction design process. ","The study addressed the challenge of effectively including OHS risk management within the construction design process, focusing on the need for handling knowledge in contexts characterized by uncertainty and discretionary decision-making. ","The data used in this study involved expert reasoning regarding the impact of design choices on OHS risks, particularly in scenarios such as falling from height during roof maintenance work. ","The study utilized innovative methods for capturing and structuring expert knowledge, specifically through the development of ""argument trees"". These argument trees modeled the expert reasoning for assessing OHS risks, which is advantageous over traditional simplistic rule-based systems. ",The findings from the development and testing of the ToolSHeD™ prototype indicate that argument trees can effectively represent design safety risk knowledge. The use of these trees in a web-based decision support tool offers potential substantial benefits to construction designers by providing straightforward and cost-effective access to expert OHS knowledge.
The main purpose of this study is to evaluate the risk of occupational accidents by developing a procedural approach that considers the specific impacts of harsh production environments on accident dynamics. ,The challenge addressed is the need for a risk assessment method that effectively incorporates the unique conditions of harsh production environments into occupational accident dynamics evaluations. ,"The study utilized accident data from the metallurgical sector in Piedmont, covering the years 2006 to 2013. ","The study employed two primary methods: the SKM approach, which combines Self-Organizing Maps (SOM) and K-Means clustering and is based on neural networks for analyzing occupational accidents dynamics; and the Fuzzy Logic approach (FAP), used for risk assessments at a specific industrial plant, leveraging accident analysis from a broader industrial sector. ","The application of the SKM and FAP methods to the metallurgical sector and an Italian industrial plant, respectively, validated the procedures proposed. Results highlighted how critical work environments impact accident dynamics, and demonstrated that considering these impacts in risk assessments can significantly enhance operational safety."
The main purpose of this study was to design and build a system that detects dangerous situations in industrial environments to enhance safety for both humans and machinery. ,"The study addressed the ongoing issue of dangerous conditions in industrial settings, despite existing automation and security measures. ",The data used in the study were derived from safety scenes and situations specifically created to test and verify the algorithms. ,The researchers employed thermal cameras to develop algorithms capable of detecting dangerous collisions involving humans and thermally hazardous areas. They also designed a graphical interface to facilitate better configuration of the system for various scenes. ,"The main findings established effective algorithms for detecting dangerous situations, which are planned to be integrated into a specially designed IoT gateway to improve scalability and application in industrial settings."
The main purpose of the study was to explore alternative methods for examining mine accidents and injuries to contribute to further reducing these incidents. ,"Despite significant improvements in accident and injury rates in the mining industry due to advancements in technology, enforcement, and safety awareness, mining still remains a high-risk occupation. ",The data used in the study consisted of a ten-year injury dataset provided by the Mine Safety and Health Administration (MSHA). ,The study employed a machine learning method known as multi-class logistic regression to analyze the data and identify significant risk factors associated with different classes of injury. ,"The analysis identified several key risk factors affecting mine workers' susceptibility to injuries, including experience on the current job, age, sex, employment type, mine type, work location, shift start time, and accident type."
The main purpose of this study was to introduce a new methodology for virtualized fault injection testing specifically designed for safety-critical embedded systems. ,"The challenge addressed was the need for an automated approach to enhance the efficiency and effectiveness of testing safety-critical embedded systems, specifically through automating test case generation, fault injection, and verdict construction. ",The study used real data from two industrial safety-critical applications in the automotive sector to evaluate the proposed tool chain. ,"The methodology employed machine learning to reverse engineer models of the systems under test, and model checking to generate test verdicts based on safety requirements formalized in temporal logic. The researchers implemented a tool chain integrating the QEMU hardware emulator, the GNU debugger GDB, and the LBTest requirements testing tool to exemplify their approach. ","The main findings were not detailed in the abstract provided, but the methodology and tool chain were successfully implemented and evaluated using industrial applications, suggesting effectiveness in automating the testing of safety-critical embedded systems."
The main purpose of this study was to develop natural language processing (NLP) and deep learning techniques for the automatic extraction and curation of occupational health and safety information from safety-related articles. ,The challenge addressed was how to effectively and efficiently process and extract relevant information regarding occupational health and safety violations from a large volume of safety-related articles. ,"The data used in this study consisted of a collection of 5,400 safety-related articles. ",The study applied techniques based on natural language processing and deep learning to automate the extraction and curation of data from the articles. ,"The main result of the study was the creation of an occupational risk-register, which compiles detailed information on safety incidents across different locations and time periods. This register is intended for further use in analytical and reporting activities, particularly beneficial to industries with high rates of occupational injuries."
The study aimed to evaluate coal mine production safety using a systematic engineering approach. ,The challenge addressed was the need for an effective way to evaluate coal mine production safety considering various factors from workers to economic aspects. ,"The data consisted of evaluation indexes confirmed across workers, production processes, coal production, and economic parameters related to coal mines. ",The study utilized a BP neural network model to evaluate coal mine production safety. This model was trained and tested to ensure its accuracy in safety evaluation. ,"The main finding was that the BP neural network model effectively evaluates coal mine production safety, offering accurate assessments that could significantly guide improvements in safety standards within the industry."
The main goal of this study was to develop a hazard management process using a fuzzy probabilistic rule-based expert system for occupational hazard assessment in the construction industry. ,"The problem addressed is the growing trend of occupational accidents in the construction industry in developing countries, impacted by the uncertainties related to accident databases and environmental randomness. ","The study used data from accident databases, which included statistical and data mining analyses, along with information gathered from a comprehensive literature review and interviews with experts. ","The study utilized a fuzzy probabilistic rule-based expert system, which integrates fuzzy logic and probabilistic models to handle uncertainties and randomness. The process also involved generating a rule base from analyses and expert contributions. ","The model was successfully tested on four major construction case studies, where it effectively analyzed and ranked different types of risks. The results were positive, indicating that the model can be applied effectively across various construction projects to proactively manage hazards."
The main goal of this study was to test the performance of machine learning techniques in predicting the severity of occupational incidents in agribusiness industries based on accessible information of injured workers. ,The challenge addressed in this study is the relatively novel application of machine learning methods in predicting incident outcomes specifically within the realm of occupational safety. ,"The data used in this study comprised over 33,000 occupational incidents from agribusiness industries in the Midwest of the United States, spanning from 2008 to 2016. This data, including the total cost of incidents, was sourced from workers’ compensation claims. ","The study employed supervised machine learning algorithms for classification, including support vector machines with linear, quadratic, and RBF kernels, Boosted Trees, and Naïve Bayes, to model and predict the severity of incidents. ","The study found that the machine learning models achieved an accuracy rate of 92–98% in predicting injury severity classification. These models used various predictors such as the injured body part, nature of injury, cause of injury, and the age and tenure of injured workers. The results underscore the importance of quantitative analysis of empirical data in safety science and demonstrate how predictive modeling can enhance the understanding of injury patterns and support safety intervention efforts in agribusiness industries."
"The main purpose of the study was to develop a cloud computing service-based Environment, Health, and Safety (EHS) management system as Software as a Service (SaaS) specifically tailored for small and medium manufacturing firms. This system aims to facilitate self-regulation of EHS processes in the manufacturing environment and to standardize and visualize EHS business processes. ","The study addresses the challenge manufacturing firms face in managing potential environment, health, and safety issues such as major accidents that could lead to casualties or significant financial loss. The increasing demand for corporate social responsibility also pressures firms to move beyond mere compliance with EHS regulations towards proactive engagement in EHS management. ",The abstract does not specify the data used in the study. ,"The method involved developing an EHS management system leveraging cloud computing to deliver the service as SaaS. This system was designed to include features such as risk analysis, education/control mechanisms, and continuous improvement capabilities for EHS tasks, accessible via the web at an affordable price. ","The cloud-based EHS management system was found to contribute to managerial improvements by minimizing economic and physical losses due to EHS accidents. Additionally, it is easily integrable with legacy systems such as Enterprise Resource Planning (ERP) systems, enhancing its usability within existing corporate infrastructures."
The main purpose of this study was to identify risk factors associated with fatal injuries versus nonfatal injuries among workers in the U.S. construction industry during the years 2015-2017. ,The study addressed the challenge of understanding what factors contribute to fatal injuries in the construction industry to help in risk reduction and improve workplace safety. ,"The data utilized in the study consisted of injury reports for 4,845 workers collected by the U.S. Bureau of Labor Statistics, originally used for a machine learning competition and repurposed for this analysis. ","The study applied multiple logistic regression to model the probability of a fatal injury based on various factors such as the nature of the injury, the body part injured, human factors involved, whether the task during the injury was regularly assigned, and the manner of injury infliction. ","The results indicated that fatal injuries were positively related to falls, strikes, electrocution, asphyxiation, drowning, and injuries to the head and neck. Conversely, nonfatal injuries were more commonly associated with chemical or temperature burns, amputations, crushing, fractures, dislocations, and injuries to extremities. The finding that falls from an elevation were negatively related to fatality was noted as anomalous compared to other research."
The main purpose of this study was to apply an adaptive neuro-fuzzy inference system (ANFIS) to evaluate the impact of working conditions on occupational injuries in ship repair yards. ,The study addressed the challenge of understanding how different factors contribute to the frequency and severity of occupational injuries in the context of ship repair work environments. ,"The data utilized in this study consisted of records on professional accidents collected by ship repair yards. Key parameters included day and time, specialty, type of incident, and details on dangerous situations and actions involved in each incident. ","The study involved statistical processing of data to identify significant parameters correlated with injury frequency in four categories (negligible wounding, slight wounding, severe wounding, and death). Gravity Factor (GF) values were computed for these parameters based on their percentage contribution to injuries. These GF values, along with risk values derived from accident data, served as inputs for training the ANFIS model. The model training used trapezoidal and Gauss membership functions, combining fuzzy inference and neural network learning capabilities to generate a set of rules based on the data. ","The ANFIS model was able to predict occupational injuries and their associations with different working conditions at ship repair yards. The predictions were verified against recorded data, validating the effectiveness of the approach."
"The main purpose of this study is to establish a risk scoring model specifically designed to assess the risk of hypertension in steel workers, taking into account occupational factors that affect their health. ","The existing hypertension risk scoring models do not include occupational factors relevant to steel workers, making them unsuitable for accurately assessing hypertension risk in this demographic. ",The study utilized a sample size of 4422 steel workers to conduct the analysis and build the appropriate risk scoring model. ,"The study applied the learning vector quantization (LVQ) neural network algorithm and the Fisher-SVM coupling algorithm to estimate hypertension risk. Additionally, graphical analysis was used to explore the 'tailing' phenomenon of both algorithms, observing how changes in sample size within different intervals impact classification effectiveness. ","The results revealed that the model’s classification accuracy varies with the size of the sample space. When the sample size is less than or equal to 30 times (k+1), the Fisher-SVM algorithm proved more suitable with an average accuracy rate of 90.00%. In contrast, for sample sizes larger than 30 times (k+1), the LVQ algorithm was more appropriate, exhibiting an average accuracy rate of 93.33%. The LVQ neural network model demonstrated superior prediction accuracy in this study with a sample size of 4422. Based on this model, a risk rating scale for hypertension in steel workers was established with three risk categories, and this scoring system showed an accuracy rate of 90.50%, indicating its effectiveness in assessing hypertension risk among steel workers."
"The main purpose of this study was to introduce and evaluate algorithms for falling risk prediction to enhance the warning systems in construction sites, thereby reducing the risk of falling from heights. ","The construction industry faces a high rate of accidents and fatalities, particularly from falls from height. Current passive protection measures are not sufficient, and there is a need for effective proactive warning systems that minimize false alarms while accurately assessing falling risks. ","The study utilized injury records from the Occupational Safety and Health Administration (OSHA) database, specifically examining 1,161 intact falling-related records from the years 2005 to 2015. ","The researchers developed three risk prediction models using different algorithms: K-Modes, Radial Basis Function (RBF) network, and Decision Trees (DT). They then evaluated the performance of these models using the OSHA injuries record data. ","The Decision Tree-based model was found to be the most effective, with a performance accuracy of 75%. The study also identified the top three critical factors influencing the severity of falling events as the distance from the ground, the worker's occupation, and the source of the fall. These insights aid in better real-time risk evaluation for workers at heights."
"The main purpose of this study was to enhance the Lockout/Tagout (LOTO) process using a wireless IoT system to make it less burdensome and to increase accountability for safety practices adherence, particularly in the mining industry. ","The challenge addressed in this study involves reducing the hazards associated with conveyor operation and maintenance in the mining sector, where traditional safety measures have so far been insufficient. ",Not explicitly mentioned in the abstract. ,The researchers employed an expanding wireless IoT system that includes predictive failure analysis and additional sensors for monitoring worker proximity to hazards. The study also focuses on human factors research to ensure the system's ease of use and effectiveness to encourage wider adoption. ,The study shows promising results in making LOTO processes less burdensome and in providing additional accountability through the deployment of advanced IoT technologies. The potential for real-time safety data monitoring and alarm systems is also highlighted as beneficial for improving safety standards in the mining industry.
The main purpose of this study was to unobtrusively evaluate ergonomic risk levels caused by overexertion in the workplace using smartphone-based motion detection technology. ,The problem addressed was the need to prevent work-related musculoskeletal disorders (WMSDs) by monitoring the physical motions of workers that could lead to such health issues. ,"The data utilized in the study included time-stamped motion data collected from body-mounted smartphones, specifically capturing accelerometer, linear accelerometer, and gyroscope signals. ","The study implemented a methodology involving the automatic detection of workers' activities through a classification framework and estimating the duration and frequency of these activities. Data acquisition and processing settings, like smartphone position, calibration, window size, and types of features, were explored using a leave-one-subject-out cross-validation framework. ","The findings showed that arm-mounted smartphones, when calibrated, can achieve up to 90.2% accuracy in a 3-class classification task of detecting worker activities. Additionally, post-processing of classification outputs provided highly accurate estimations of corresponding ergonomic risk levels."
The main purpose of this study was to analyze and identify preventive measures for major occupational accidents in the petrochemical industry in Taiwan. ,"The study addressed the challenge of frequent accidents in the petrochemical industry, which often result in serious social issues and are primarily caused by underlying safety management issues. ",The study utilized a dataset of 349 cases of major occupational accidents that occurred in the petrochemical industry in Taiwan between the years 2000 and 2010. ,Descriptive statistics were employed to outline the factor distribution of the occupational accidents. The classification and regression tree (CART) data mining technique was utilized to examine the distribution and determine the rules governing the contributing factors to these accidents. ,"The findings indicated that implementing high-quality safety devices, maintenance plans, and proper pipeline and design setups can significantly reduce the risk of fires, explosions, and poisoning due to material leakage, as well as accidents involving machinery entanglement. Moreover, safety management measures like worker safety training, inspections, operation standards, and risk assessments were highlighted as crucial for preventing accidents. Recommendations were made to address specific risks such as pipeline damage and rusting to ensure the safety of work environments and prevent occupational accidents and their ensuing social issues."
The main purpose of this study was to improve understanding of occupational accident patterns in the Portuguese Extractive Industry by refining the methodology used in previous studies and expanding knowledge on accident patterns. ,"The challenge addressed was the limited scope of a previous study (2008) that used a simpler, bivariate analysis for identifying accident patterns, which needed enhancement to more accurately characterize accident mechanisms. ",The study utilized more recent occupational accident data collected from the years 2005 to 2007 in the Portuguese Extractive Industry. ,This study advanced from a bivariate analysis to a multivariate pattern analysis using data mining techniques. It involved associating nine variables and quantifying the statistical cohesion among these variables to identify distinct accident patterns. ,"The study not only confirmed the typical accident pattern identified in the 2008 study but also discovered three statistically significant new patterns. These patterns involved 4-5 categories of variables and provided a measure of their statistical cohesion. This enriched approach offered a more precise view of the accident scenarios, which is crucial for effective risk management."
"The main purpose of the study was to explore the use of soft computing methods such as fuzzy logic, artificial neural networks, and genetic algorithms for risk evaluation and predictive analysis in industrial electrostatic systems. ","The study addressed the complexity of approximating multivariable functions in the context of real, complicated industrial systems, and how traditional methods may fall short in effectively addressing these challenges. ",The abstract does not explicitly mention the specific data used in the study. ,"The study applied soft computing methods, specifically fuzzy logic, artificial neural networks, and genetic algorithms, to evaluate risks and conduct predictive analysis in industrial electrostatics. ",The main findings suggested that these new approaches are effective for risk evaluation in operational systems (through checking and auditing) and can also be utilized in the planning and design stages using their predictive capabilities.
The main purpose of this study was to discuss and analyze the influences of resource supply and ecological environment on industrial safety. ,The challenge addressed was the increasing importance of resource supply and ecological environment for the sustainable development and safety of industries in the context of globalization. ,The study reviewed existing evaluation index systems related to industrial safety. ,"The method involved constructing an industrial safety evaluation index system focusing on social safety, economic security, and ecological security. ","The main finding was the establishment of a comprehensive evaluation index system for industrial safety, which highlights the interdependence of social, economic, and ecological factors."
The main purpose of the study was to review various approaches and modeling efforts used in safety performance evaluation. ,The study addressed the challenge of managing safety programs effectively and aligning them with suitable performance measures to facilitate continuous improvement. ,The study utilized data from a review and synthesis of existing literature related to safety performance evaluation. ,The study employed a literature review methodology to identify and synthesize different modeling and evaluation approaches in safety performance. ,"The main findings of the study included the identification of ten major safety performance evaluation approaches such as expectation function, risk assessment, statistical quality control, price deflation, engineering economic factor, system analysis, artificial intelligence, and systems theory. Both quantitative and qualitative models were proposed, where quantitative models use indicators like frequency, severity, and economic impacts, and qualitative models involve hazard analysis and operability studies."
"The main purpose of this study is to explore the automation of process hazards analysis (PHA) in chemical process industries, and examine the application of intelligent systems within this context. ","The study addresses the challenges faced by the chemical process industries in conducting PHA due to the substantial amounts of time, effort, and financial resources required, heightened by increasing public concerns and stringent regulations. ","The abstract does not specify the exact data used; however, it references reviews and discussions on progress made in the field and in specific laboratory studies. ",The methods discussed include the development and application of intelligent systems for synthesizing operating procedures and conducting Hazard and Operability (HAZOP) analysis within the industrial setting. ,"The study finds that recent advances in intelligent systems offer promising outcomes for improving process hazards analysis, inherently safer design, operator training, and real-time fault diagnosis in the chemical process industries."
The main purpose of this study was to evaluate the potential benefits of reengineering the Mine Safety and Heath Administration's (MSHA) Part 50 accident database into a data warehouse environment and assess the potential of data mining techniques for gaining new insights. ,The primary challenge addressed was the outdated technology of the original MSHA Part 50 database and the need to integrate it with modern data analysis and visualization tools to improve mine safety research. ,"The study utilized the MSHA Part 50 accident database, which contains records of mine accidents, including numbers, rates, and severity from the U.S. mining industry. ",The methods applied in the study included the transformation of the existing database into a data warehouse format and the application of data mining techniques to analyze the data more effectively. ,"The reengineering of the database allowed for more in-depth analysis through data mining, which provided new insights into mine safety that can guide future research and improvements in best practices."
The main purpose of this study was to investigate whether the Estimation and Assessment of Substance Exposure (EASE) artificial intelligence program could accurately predict actual sampling results of airborne concentrations of specific chemicals in a chemical manufacturing process. ,"The problem addressed in this study is that while EASE is designed to make general predictions of occupational environmental exposure, it was unclear if it could accurately determine individual exposure characterizations for specific tasks in real-world settings. ","The data used in the study included personal breathing zone time-weighted average (TWA) monitoring data for two volatile organic chemicals—toluene and chloroprene—from a chemical manufacturing process. Specifically, two hundred and six full-shift personal samples of chloroprene and toluene collected from eight different areas within the manufacturing process were utilized. ","The study involved comparing the TWA estimates generated by EASE, which were weighted by task durations as reported in monitoring records, with the measured TWA data. The Spearman correlation coefficient was used to assess the relationship between the EASE-generated estimates and the actual measured values. ","The results demonstrated moderate predictive accuracy of EASE, with Spearman correlation coefficients of 0.55 for chloroprene and 0.44 for toluene. While the interquartile range of EASE estimates for toluene partially overlapped with the interquartile range of the measured data across all process areas, the EASE estimates for chloroprene were less consistent and varied more across different process areas. The study concluded that EASE should not replace actual exposure monitoring but could still serve useful in preliminary exposure assessments and in scenarios where direct sampling is not feasible."
